Original Code_x	Matched_Code	description_x	Drug Name	Dosing Information
c25	C259	Malignant neoplasm of pancreas unspecified	Folfirinox	First-line chemotherapy
J04.0	J040	Acute laryngitis	Dexamethasone	10 mg (0.6 mg/kg)/day
G24.02	G2402	Drug induced acute dystonia	Diphenhydramine	1-2 mg/kg (up to 100 mg) by slow intravenous injection_
G24.02	G2402	Drug induced acute dystonia	Benztropine	1 to 2 mg administered intramuscularly (IM) or intravenously (IV) once, followed by 1 to 2 mg orally twice a day
G61.0	G610	Guillainbarre syndrome	Methylprednisolone	1000 mg - 500mg /4 doses x day
B20	B20	Human immunodeficiency virus hiv disease	Atripla	One oral tablet once daily on an empty stomach, preferably at bedtime
B20	B20	Human immunodeficiency virus hiv disease	Biktarvy	One oral tablet once daily with or without food
B20	B20	Human immunodeficiency virus hiv disease	Cimduo	One oral tablet once daily with or without food
B57	B570	Acute chagas disease with heart involvement	Benznidazol	For adults and children older than 12 years: 2.5 to 3.5 mg/kg orally twice a day for 60 day
B57	B570	Acute chagas disease with heart involvement	Benznidazol	For children 12 years and younger: 2.5 to 3.75 mg/kg twice a day for 60 days.
B57	B570	Acute chagas disease with heart involvement	Nifurtimox	For patients 17 years and older: 2 to 2.5 mg/kg orally 4 times a day for 90 days
B57	B570	Acute chagas disease with heart involvement	Nifurtimox	For children aged 11 to 16 years: 3 to 3.75 mg/kg 4 times a day for 90 days.
A37	A3700	Whooping cough due to bordetella pertussis without pneumonia	Azithromycin	500 mg PO x 1 dose on Day 1, followed by 250 mg PO qDay on Days 2-5
H66.90	H6690	Otitis media unspecified unspecified ear	Cipro hc otic	ciprofloxacin will increase the level or effect of cobimetinib by  affecting hepatic/intestinal enzyme CYP3A4 metabolism. Avoid or Use Alternate Drug. If concurrent short term (14 days or less) use of moderate CYP3A inhibitors is unavoidable for patients who are taking cobimetinib 60 mg, reduce the cobimetinib dose to 20 mg. After discontinuation of a moderate CYP3A inhibitor, resume cobimetinib 60 mg. Use an alternative to a moderate CYP3A inhibitor in patients who are taking a reduced dose of cobimetinib (40 or 20 mg daily). ciprofloxacin will increase the level or effect of olaparib by  affecting hepatic/intestinal enzyme CYP3A4 metabolism. Avoid or Use Alternate Drug. If coadministration with moderate CYP3A inhibitors cannot be avoided, reduce olaparib dose to 200 mg (capsule) or 150 mg (tablet) PO BID.  Do not substitute tablets with capsules. ezogabine, ciprofloxacin.
I48.91	I4891	Unspecified atrial fibrillation	Calan	2.5-5 mg IV over 2 minutes; 5-10 mg dose may be repeated after 15-30 minutes Alternatively, 0.075-0.15 mg/kg (not to exceed 10 mg) IV over 2 minutes; dose may be repeated once 30 minutes after first dose
I48.91	I4891	Unspecified atrial fibrillation	Calan	Immediate release: 240-480 mg/day PO divided q6-8hr
J38.5	J385	Laryngeal spasm	Amrix	Immediate-release tablet: 5 mg/day PO initially; titrate slowly upward and consider less frequent dosing
D64.9	D649	Anemia unspecified	Luspatercept	Initial dose: 1 mg/kg once SC q3Weeks
D64.9	D649	Anemia unspecified	Leucovorin	Up to 1 mg daily; there is no evidence that doses > 1 mg/day have greater efficacy than those of 1 mg; additionally, loss of folate in urine becomes roughly logarithmic as the amount administered exceeds 1 mg
